CD56NK	CD4MemoryT	CD19B	CD14
V568	0.21055	0	0.04581	0.74364
V569	0.64521	0.01132	0	0.34347
V570	0.02244	0.24632	0.64398	0.08726
V571	0.83329	0.09235	0	0.07436
V572	0.44037	0	0.43734	0.12229
V573	0.05105	0.12286	0.0034	0.82269
V574	0.03574	0.7698	0.17686	0.01759
V575	0.01409	0.04827	0.10904	0.8286
V576	0.16438	0.78369	0.03467	0.01726
V577	0.02937	0.01999	0.18953	0.76112
V578	0.05057	0.03694	0.68138	0.23111
V579	0.00722	0.87038	0.09387	0.02853
V580	0.12806	0	0.09694	0.775
V581	0.05342	0.04556	0.00034	0.90069
V582	0.57319	0.10347	0.02887	0.29447
V583	0.00524	0.02274	0.57005	0.40198
V584	0.54153	0.1145	0.29709	0.04689
V585	0.00555	0.00017	0.41438	0.57991
V586	0.23316	0.00138	0.6501	0.11536
V587	0.27079	0.00284	0.68853	0.03783
V588	0.59964	0.02224	0.02091	0.35722
V589	0.05595	0.7959	0.0619	0.08626
V590	0.04741	0.74722	0.19847	0.0069
V591	0.00055	0.01666	0.18077	0.80202
V592	0.16569	0.02078	0.81299	0.00054
V593	0.55665	0	0.17425	0.26909
V594	0.35279	0.24197	0.34491	0.06033
V595	0.01957	0.0082	0.0153	0.95693
V596	0.02881	0.21927	0.21444	0.53748
V597	1e-05	0.53896	0.35023	0.1108
V598	0.01518	0.08391	0.88234	0.01857
V599	0.65327	0.27918	0.03155	0.03599
V600	0.37125	0.425	0.04793	0.15582
V601	0.14732	0.21362	0.07363	0.56543
V602	0.0198	0.01032	0.00794	0.96194
V603	0.0065	0.30144	0.00881	0.68325
V604	0.53577	0.08081	0.3471	0.03632
V605	0.06249	0.27341	0.41033	0.25377
V606	0.73413	0.11501	0.00931	0.14154
V607	0.62512	0.00182	0.10388	0.26918
V608	0.21518	0.11241	0.3877	0.28471
V609	0.02045	0.17683	0.22248	0.58024
V610	0.76002	0.00575	0.08676	0.14747
V611	0.25271	0	0.04484	0.70245
V612	0.0226	0.05886	0.83259	0.08595
V613	0.03167	0.29396	0.62299	0.05138
V614	0.75946	0.03647	0.04382	0.16024
