Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V274	0.05443	0.01018	0.1183	0.01161	0.13788	0.14387	0.0172	0.06069	0.06602	0.37983
V275	0.01445	0.04925	0.02898	0	0.7391	0.03291	0.00379	0	0.00866	0.12285
V276	0	0.06411	0.04252	0.48872	0.0919	0	0.10288	0	0.16174	0.04813
V277	0	0.13158	0.51988	0.26891	0.05885	0	0.00996	0	0.01082	0
V278	0.09796	0.02696	0.12174	0	0.18465	0	0.01684	0	0.04432	0.50752
V279	0.0068	0.09247	0.04336	0.3356	0.31293	0.00768	0.17189	0	0.02928	0
V280	0.08398	0.01504	0.0154	0.07633	0.1959	0.23326	0.21346	0.1249	0.04141	0.00031
V281	0	0.03355	0.03163	0.00433	0.07778	0.68212	0.0538	0	0.03835	0.07844
V282	0	0.01077	0.06743	0.85884	0.01539	0	0.00376	0.00594	0.03496	0.00291
V283	0.07036	0	0.02157	0.05872	0.53052	0.0192	0.01475	0.00293	0.28195	0
V284	0	0.01131	0.30989	0	0.15834	0	0.01634	0	0.03731	0.46681
V285	0	0.07863	0.03128	0.00063	0.08595	0	0.04543	0.45548	0.06329	0.2393
V286	0.00199	0.0055	0.10298	0.04438	0.11438	0.40967	0.03411	0	0.02839	0.25859
V287	0.01161	0.03275	0.06056	0	0.12592	0.03389	0.3555	0	0.08426	0.29551
V288	0	0.00996	0	0.02152	0	0.17219	0.01238	0.77685	0.00711	0
V289	0	0.10302	0.75654	0	0.11451	0	0.01214	0	0.00522	0.00857
V290	0	0.04052	0.2228	0	0.02531	0.23938	0.41052	0.00271	0.05783	0.00094
V291	0.77975	0	0.0407	0.06488	0.04451	0.04695	0.02114	0	0	0.00207
V292	0	0.00169	0.62309	0	0.00736	0.33785	0.02946	0	0.00055	0
V293	0	0.00336	0.92318	0	0.01555	0	0.01514	0.04069	0	0.00208
V294	0.02333	0.13674	0.19588	0.01616	0.04332	0	0.07468	0	0.50989	0
V295	0	0.03417	0.809	0	0.0121	0.008	0.01716	0.08629	0	0.03329
V296	0.00138	0.00923	0.06757	0.15785	0.26971	0	0.02991	0.12266	0.34168	0
V297	0.19793	0.03969	0.05421	0	0.22064	0	0.05561	0	0.03588	0.39603
V298	0	0.00957	0.09999	0.84344	0.01066	0	0.01358	0	0.02276	0
V299	0.31268	0	0	0	0.17419	0.46507	0.02958	0	0.00764	0.01084
V300	0	0	0	0.24212	0.17227	0	0.00995	0.57566	0	0
V301	0	0.00092	0	0.04621	0	0	0	0.94875	0.00412	0
V302	0.16289	0	0.05734	0.00903	0	0	0.001	0.76974	0	0
V303	0	0.36444	0.19089	0	0.12577	0.2605	0.02153	0	0.03687	0
