Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V226	0	0.70671	0	0.01139	0	0	0.08829	0.10249	0.09113	0
V227	0.06443	0.07256	0.52364	0.12825	0.17221	0	0	0	0.0267	0.01222
V228	0	0.5949	0.06133	0.03254	0	0	0.08189	0.10308	0.12626	0
V229	0.61003	0.02074	0.04635	0.02881	0	0.22766	0.04781	0.0186	0	0
V230	0	0	0.11524	0.34901	0	0.01689	0.14938	0.01679	0	0.35268
V231	0	0.29485	0.06117	0.03444	0.01305	0.07897	0.07562	0.0154	0.42651	0
V232	0.03835	0.38686	0.34224	0.08657	0	0.00239	0.04304	0.05116	0.0494	0
V233	0	0.16557	0.0319	0.04378	0.47741	0.00628	0.02254	0.00481	0.2477	0
V234	0	0.06227	0.04719	0.02663	0.17945	0.03797	0.2889	0.31129	0.0463	0
V235	0.04267	0.04089	0.34777	0.08752	0.0043	0.02629	0.07731	0.33166	0.03693	0.00464
V236	0.00852	0.03674	0.23658	0.28879	0.01175	0.3351	0.05876	0.00686	0.01691	0
V237	0.0551	0.08705	0.33955	0.20995	0.21294	0.02938	0.00974	0.02258	0.03371	0
V238	0.0221	0.07439	0.28655	0.074	0.02177	0.02774	0.0785	0.3688	0.04615	0
V239	0.01973	0.16007	0.13673	0.46625	0.01786	0.0219	0.06251	0.00652	0.02544	0.08298
V240	0.0413	0.00913	0.08048	0.04442	0.0401	0.25443	0.50155	0.02758	0.00019	0.00083
V241	0.18295	0.01289	0.16123	0.55242	0.01709	0.03124	0.0104	0.02468	0.00709	0
V242	0	0.09331	0.09379	0.05908	0.04535	0.0078	0.06614	0.0165	0.61802	0
V243	0	0.06549	0.09844	0.13677	0.03209	0.06638	0.10719	0.01835	0.41813	0.05717
V244	0.03763	0.00845	0.31905	0.09413	0.02759	0.02863	0.42202	0.04803	0.01446	0
V245	0.14154	0.16128	0.15772	0.05788	0	0.38611	0.07578	0.01969	0	0
V246	0	0.19814	0.0571	0.03657	0.02659	0.03367	0.57447	0.02449	0.04898	0
V247	0.08468	0.04851	0.67216	0.15483	0.00316	0	0	0	0.01292	0.02374
V248	0.45527	0.0818	0.07371	0.03095	0.01206	0.03182	0.17806	0.12875	0.00758	0
V249	0.08027	0.04621	0.55293	0.12666	0.05404	0	0.00507	0	0.01144	0.12338
V250	0	0.06768	0.09481	0.29258	0.01617	0.25048	0.08777	0.16984	0.02067	0
V251	0.54072	0.20033	0.0492	0.04572	0.04526	9e-05	0.02262	0.04387	0.0522	0
V252	0.03081	0.50337	0.02592	0.0655	0	0.19588	0.09045	0.03787	0.0502	0
V253	0.01245	0.06893	0.2907	0.07634	0.03006	0.06852	0.05681	0.00913	0.38706	0
V254	0	0.18771	0.02356	0.05669	0.5912	0.0053	0.00678	0.00043	0.05646	0.07188
V255	0	0.20466	0.00151	0.01213	0.6869	0.00044	0.00999	0.00696	0.07314	0.00426
V256	0.00789	0.01764	0.18757	0.69497	0.01238	0.04125	0.01184	0.00944	0.01701	0
V257	0.39206	0.02075	0.33056	0.11046	0	0.1206	0.02557	0	0	0
V258	0	0.17687	0.00948	0.01703	0.57781	0	0.02457	0.00229	0.0472	0.14474
V259	0.05192	0.04727	0.05447	0.11515	0.12663	0.03326	0.10573	0.41375	0.05182	0
V260	0	0.2229	0.01822	0.02069	0	0.03796	0.11393	0.50528	0.08101	0
V261	0.16861	0.03669	0.06808	0.03918	0.02723	0.25118	0.35174	0.01981	0.03748	0
V262	0	0.45053	0.07889	0.04856	0	0.28076	0.08498	0.01012	0.04615	0
V263	0.40429	0.42329	0.03373	0.02098	0	0.00245	0.07995	0	0.0353	0
V264	0.0129	0.06136	0.13784	0.50086	0.20509	0.01642	0.02843	0.00646	0.02925	0.00139
V265	0.00817	0.28693	0.09797	0.2778	0	0.02653	0.182	0.00804	0.0351	0.07746
V266	0	0.67651	0.08136	0.03124	0	0	0.06818	0.00643	0.13628	0
V267	0	0.20377	0.02394	0.03611	0	0.01288	0.06735	0.01142	0	0.64452
V268	0	0.3784	0.04497	0.13127	0.29167	0	0.04278	0.01003	0.10088	0
V269	0.04787	0.01625	0.30887	0.56364	0.01733	0.00194	0.00583	0.0115	0.02674	0
V270	0.01705	0.20121	0.00509	0.01108	0.6744	0	0.00172	0.00633	0.06954	0.0136
V271	0.01815	0.09469	0.18813	0.04452	0.06399	0.00729	0.08165	0.01253	0.48904	0
V272	0	0.21493	0.09093	0.04091	0.01156	0.14554	0.1092	0.13761	0.21367	0.03567
V273	0	0.04051	0.07405	0.21483	0.05353	0.53239	0.07383	0.01085	0	0
V274	0.07682	0.02458	0.08505	0.05141	0	0.15142	0.06758	0.04976	0	0.49338
V275	0	0.24352	0.01756	0.0125	0.40422	0.05101	0.03224	0.0081	0.03745	0.19338
V276	0.00209	0.12267	0.12763	0.35983	0.04122	0.00655	0.1582	0.02459	0.1026	0.05459
V277	0.04439	0.2326	0.37198	0.3008	0	0	0.0162	0.00098	0.03304	0
V278	0.12859	0.01263	0.05329	0.0207	0	0.00252	0.05513	0.01448	0	0.71264
V279	0	0.18321	0.09517	0.26093	0.16087	0.01804	0.23786	0.01055	0.03337	0
V280	0.06573	0.04715	0.07597	0.09355	0.11595	0.21637	0.29847	0.07382	0.01298	0
