CD56NK	CD4MemoryT	CD19B	CD14
V571	0.8254	0.07464	0.00019	0.09977
V572	0.52735	0.00056	0.28862	0.18346
V573	0.05081	0.08026	0.00138	0.86755
V574	0.0649	0.75218	0.14649	0.03643
V575	0.01599	0.03332	0.05604	0.89466
V576	0.23004	0.7056	0.03088	0.03348
V577	0.03355	0.01476	0.09786	0.85383
V578	0.08088	0.03899	0.49965	0.38048
V579	0.01693	0.84523	0.08114	0.05669
V580	0.12152	0	0.04896	0.82952
V581	0.05009	0.03034	0	0.91958
V582	0.55397	0.07775	0.0182	0.35008
V583	0.00872	0.02019	0.38156	0.58954
V584	0.62712	0.10313	0.19395	0.0758
V585	0.00803	0.00055	0.24159	0.74983
V586	0.32578	0.0014	0.47823	0.19459
V587	0.39017	0.0026	0.53491	0.07232
V588	0.55808	0.01853	0.01274	0.41065
V589	0.089	0.71194	0.05177	0.14729
V590	0.08311	0.73588	0.16413	0.01687
V591	0.00091	0.01185	0.0931	0.89413
V592	0.26119	0.02254	0.71627	0
V593	0.56301	0	0.10138	0.33561
V594	0.44558	0.21458	0.23856	0.10128
V595	0.01797	0.00564	0.00536	0.97103
V596	0.03853	0.1574	0.12285	0.68122
V597	0.00162	0.51976	0.27881	0.19981
V598	0.03275	0.11153	0.81312	0.0426
V599	0.7009	0.22062	0.0234	0.05507
V600	0.42107	0.32577	0.03513	0.21803
V601	0.15331	0.14437	0.04173	0.66059
V602	0.01778	0.00606	0.00203	0.97412
V603	0.00906	0.19922	0.00537	0.78635
V604	0.63391	0.07637	0.22918	0.06055
V605	0.09294	0.23808	0.28025	0.38873
V606	0.72204	0.09054	0.00705	0.18037
V607	0.61041	0.00281	0.06032	0.32646
V608	0.26013	0.09757	0.24405	0.39824
V609	0.02838	0.13136	0.12613	0.71413
V610	0.75143	0.00697	0.05365	0.18795
V611	0.22856	0	0.02341	0.74803
V612	0.04587	0.06894	0.71375	0.17144
V613	0.06357	0.31648	0.51449	0.10546
