Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Decon-HPCA	Neutrophils	C	0.34062	0.004	0.33662	0.1133130244
Decon-HPCA	T Cells	C	0.22962	0.93	0.70038	0.4905321444
Decon-HPCA	B Cells	D	0.0	0.005	0.005	2.5e-05
Decon-HPCA	Monocytes	D	0.0	0.01	0.01	0.0001
Decon-HPCA	NK	D	0.16495	0.051	0.11395	0.0129846025
Decon-HPCA	Neutrophils	D	0.33943	0.004	0.33543	0.1125132849
Decon-HPCA	T Cells	D	0.23183	0.93	0.69817	0.4874413489
Decon-HPCA	B Cells	E	0.0	0.01	0.01	0.0001
Decon-HPCA	Monocytes	E	0.0	0.026	0.026	0.000676
Decon-HPCA	NK	E	0.21082	0.104	0.10682	0.0114105124
Decon-HPCA	Neutrophils	E	0.35455	0.008	0.34655	0.1200969025
Decon-HPCA	T Cells	E	0.15884	0.851	0.69216	0.4790854656
Decon-HPCA	B Cells	F	0.0	0.027	0.027	0.000729
Decon-HPCA	Monocytes	F	0.0	0.055	0.055	0.003025
Decon-HPCA	NK	F	0.28499	0.885	0.60001	0.3600120001
Decon-HPCA	Neutrophils	F	0.37298	0.017	0.35598	0.1267217604
Decon-HPCA	T Cells	F	0.04309	0.016	0.02709	0.0007338681
Decon-HPCA	B Cells	G	0.0	0.159	0.159	0.025281
Decon-HPCA	Monocytes	G	0.0	0.319	0.319	0.101761
Decon-HPCA	NK	G	0.13767	0.016	0.12167	0.0148035889
Decon-HPCA	Neutrophils	G	0.43424	0.395	0.03924	0.0015397776
Decon-HPCA	T Cells	G	0.05874	0.112	0.05326	0.0028366276
Decon-HPCA	B Cells	H	0.0	0.1	0.1	0.01
Decon-HPCA	Monocytes	H	0.01387	0.813	0.79913	0.6386087569
Decon-HPCA	NK	H	0.13232	0.01	0.12232	0.0149621824
Decon-HPCA	Neutrophils	H	0.39942	0.001	0.39842	0.1587384964
Decon-HPCA	T Cells	H	0.02597	0.075	0.04903	0.0024039409
Decon-HPCA	B Cells	I	0.0	0.1	0.1	0.01
Decon-HPCA	Monocytes	I	0.01539	0.813	0.79761	0.6361817121
Decon-HPCA	NK	I	0.13173	0.01	0.12173	0.0148181929
Decon-HPCA	Neutrophils	I	0.39912	0.001	0.39812	0.1584995344
Decon-HPCA	T Cells	I	0.02361	0.075	0.05139	0.0026409321
Decon-HPCA	B Cells	J	0.0	0.0	0.0	0.0
Decon-HPCA	Monocytes	J	0.0	0.0	0.0	0.0
Decon-HPCA	NK	J	0.1684	0.0	0.1684	0.02835856
Decon-HPCA	Neutrophils	J	0.31874	0.0	0.31874	0.1015951876
Decon-HPCA	T Cells	J	0.25878	1.0	0.74122	0.5494070884
Decon-HPCA	B Cells	K	0.0	0.0	0.0	0.0
Decon-HPCA	Monocytes	K	0.0	0.0	0.0	0.0
Decon-HPCA	NK	K	0.23472	0.0	0.23472	0.0550934784
