"gene_symbol","Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Keratinocytes","Blood_CD34._cells","Vascular_Endothelial_Cells","Platelets"
"COL9A1",19.758025,18.696976,18.207289,17.631601,17.969121,17.514225,17.065161,17.239104,17.007376,19.749136
"COL9A2",37.982569,32.706961,31.9225,35.247969,29.931841,27.196225,30.980356,27.657081,26.255376,31.979025
"COL9A3",44.809636,21.752896,29.235649,24.226084,22.080601,24.324624,41.165056,27.154521,29.778849,31.990336
"COLEC10",22.8484,17.850625,19.000881,19.492225,17.952169,17.272336,16.265089,18.207289,16.621929,20.5209
"COLEC11",30.041361,25.847056,29.008996,30.415225,27.290176,27.436644,27.931225,25.492401,27.793984,31.5844
"COLEC12",18.275625,15.484225,23.04,52.186176,15.984004,85.914361,16.265089,19.616041,83.083225,19.642624
"COLQ",30.459361,30.614089,29.289744,30.25,31.967716,26.574025,25.180324,30.25,26.584336,36.505764
"COMMD1",42.562576,82.846404,67.617729,75.307684,66.814276,88.059456,86.285521,74.235456,87.534736,51.4089
"COMMD10",23.242041,37.442161,34.727449,35.676729,31.404816,34.892649,34.433424,31.877316,37.957921,26.3169
"COMMD2",43.612816,68.178049,53.012961,58.614336,59.182249,61.6225,64.336441,65.950641,61.653904,36.687249
"COMMD3",58.967041,99.940009,82.246761,85.803169,83.338641,89.472681,85.045284,94.887081,89.415936,72.573361
"COMMD4",40.271716,58.721569,45.010681,53.114944,46.280809,59.367025,49.547521,49.787136,60.652944,33.304441
"COMMD5",57.836025,56.625625,54.774801,56.1001,47.3344,50.509449,51.897616,46.977316,51.868804,39.262756
"COMMD6",61.027344,74.736025,73.034116,67.798756,78.517321,75.099556,73.410624,71.5716,74.787904,66.667225
"COMMD7",38.713284,62.805625,52.041796,53.963716,52.374169,54.582544,49.505296,57.198969,56.580484,62.742241
"COMMD8",74.857104,103.469584,88.849476,85.322169,86.248369,89.321401,90.402064,84.345856,83.942244,65.512836
