gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
HBQ1	24.8004	35.688676	25.674489	27.185796	26.020201	25.150225	27.720225	24.049216	27.573001	26.142769	30.636225	22.231225	37.5769	88.585744	28.462225	27.405225	23.2324	26.450449	25.969216	24.1081	25.160256
HBZ	21.855625	24.186724	22.591009	21.077281	21.298225	21.399876	20.839225	22.7529	22.610025	22.695696	25.887744	23.990404	24.423364	59.397849	23.097636	25.070049	22.591009	22.005481	21.8089	24.780484	20.939776
HCG22	31.36	33.074001	35.5216	48.358116	33.419961	32.615521	29.495761	36.288576	36.687249	33.767721	39.853969	38.9376	36.784225	92.006464	35.438209	33.0625	33.884041	32.626944	33.64	32.228329	33.016516
HEMGN	13.191424	43.007364	12.996025	12.355225	11.909401	12.159169	12.8164	12.588304	16.337764	12.873744	14.922769	16.1604	72.046144	71.048041	12.3201	17.338896	16.507969	16.353936	12.278016	12.652249	12.159169
HEY2	17.757796	17.272336	17.715681	35.545444	18.301284	18.455616	16.900321	17.740944	17.707264	20.875761	19.430464	45.077796	21.613201	28.111204	29.669809	18.241441	18.507204	19.035769	17.065161	18.292729	17.969121
HGF	16.532356	28.579716	17.833729	19.900521	20.466576	16.088121	25.816561	19.829209	27.175369	16.152361	20.5209	40.819321	18.326961	21.086464	21.827584	17.665209	16.224784	16.867449	16.120225	16.581184	16.621929
HHIP	15.382084	17.547721	15.832441	16.670889	17.522596	14.845609	40.030929	15.752961	15.476356	15.7609	16.859236	18.6624	24.990001	20.052484	17.8929	15.397776	15.256836	15.665764	14.462809	15.792676	93.528241
HIST1H2AG	23.571025	29.866225	19.731364	11.580409	21.169201	26.1121	13.608721	13.653025	20.811844	22.7529	15.928081	30.669444	123.21	12.020089	11.519236	17.935225	20.484676	19.989841	21.986721	17.969121	18.455616
HIST1H2AM	21.874329	28.164249	20.647936	17.164449	16.924996	20.720704	15.992001	17.5561	21.874329	22.325625	17.9776	24.840256	80.425024	25.361296	13.293316	19.053225	18.826921	20.620681	23.785129	19.678096	18.130564
HIST1H2BC	17.774656	22.344529	21.187609	16.703569	17.4724	38.850289	19.855936	21.7156	25.240576	18.284176	83.448225	33.558849	94.614529	13.256881	15.984004	11.758041	13.653025	16.386304	17.816841	12.716356	15.808576
